"constraint_name","constraint_definition","constraint_type"
"team_members_invited_by_fkey","FOREIGN KEY (invited_by) REFERENCES auth.users(id) ON DELETE SET NULL","f"
"team_members_pkey","PRIMARY KEY (id)","p"
"team_members_role_check","CHECK ((role = ANY (ARRAY['admin'::text, 'member'::text, 'guest'::text])))","c"
"team_members_status_check","CHECK ((status = ANY (ARRAY['invited'::text, 'active'::text, 'inactive'::text])))","c"
"team_members_team_id_fkey","FOREIGN KEY (team_id) REFERENCES teams(id) ON DELETE CASCADE","f"
"team_members_team_id_user_id_key","UNIQUE (team_id, user_id)","u"
"team_members_user_id_auth_users_fkey","FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE","f"
"team_members_user_id_profiles_fkey","FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE","f"
"team_members_user_team_key","UNIQUE (user_id, team_id)","u"
